NOME,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Cluster
Aluno 02,1,0,0,-1,1,1,1,1,1,1
Aluno 03,1,0,0,0,1,1,1,-1,-1,2
Aluno 04,-1,0,0,-1,0,1,-1,-1,-1,0
Aluno 05,1,0,0,0,1,1,1,1,1,1
Aluno 06,1,0,0,-1,1,-1,-1,-1,-1,0
Aluno 07,1,0,-1,0,1,1,-1,-1,-1,0
Aluno 09,-1,-1,-1,-1,1,-1,-1,-1,-1,0
Aluno 10,1,0,0,-1,0,1,1,1,1,1
Aluno 11,1,0,0,0,0,1,1,1,1,1
Aluno 12,1,0,0,-1,1,1,-1,1,-1,1
Aluno 13,1,0,0,-1,1,1,-1,0,1,1
Aluno 14,1,0,0,0,1,1,0,1,1,1
Aluno 15,1,-1,0,-1,-1,-1,-1,-1,-1,0
Aluno 16,1,0,-1,-1,-1,-1,0,-1,-1,0
Aluno 18,1,0,0,0,1,1,-1,1,0,1
Aluno 19,1,0,0,0,1,0,-1,-1,-1,0
Aluno 20,1,0,0,-1,1,-1,0,-1,-1,0
Aluno 21,-1,0,0,0,1,1,1,1,1,1
Aluno 22,1,0,0,1,1,-1,1,0,0,2
Aluno 24,1,0,-1,-1,1,-1,-1,-1,-1,0
Aluno 25,1,-1,-1,-1,1,-1,-1,-1,-1,0
Aluno 26,1,-1,0,-1,1,-1,1,0,0,2
Aluno 28,1,0,-1,0,1,0,0,1,0,1
Aluno 30,1,0,0,-1,1,-1,0,1,-1,0
Aluno 31,1,0,-1,-1,1,-1,-1,0,-1,0
Aluno 32,1,0,-1,0,1,-1,-1,-1,-1,0
Aluno 33,1,-1,-1,1,1,0,1,-1,0,2
Aluno 34,1,-1,-1,-1,1,-1,-1,-1,-1,0
Aluno 35,1,0,0,0,1,-1,-1,-1,-1,0
Aluno 36,1,-1,-1,-1,0,-1,-1,1,-1,0
Aluno 37,1,-1,0,0,-1,-1,-1,-1,-1,0
Aluno 38,1,0,-1,0,1,1,1,1,1,1
Aluno 39,1,0,0,-1,1,-1,-1,-1,-1,0
