ID,USERID,NOME,EXPERIENCIA,ALG_01,BASE_ALG_01,DEC_01,BASE_DEC_01,REC_01,BASE_REC_01,ABS_01,BASE_ABS_01,TOTAL_ATIVIDADE_01,A atividade foi muito bem organizada.,O professor era muito bem informado sobre o assunto que ensinava.,O professor era muito bom na comunicação.,O professor foi motivador e entusiasta.,"Por favor, indique as três coisas que você mais gostou na aula e por quê?","Por favor, indique as três coisas que você não gostou na aula e por quê?",Qual foi a coisa mais importante que você aprendeu com essa aula?,Fale sobre as bases do pensamento computacional.,Você acha que as lições da aula serão úteis para o crescimento de sua carreira? Por quê?,Você tem algum comentário ou sugestão para ajudar a melhorar essa aula?
aluno 01,63,aluno 01,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,4.0,5.0,5.0,5.0,"Didática, modo de fala com os alunos e a ajuda na interpretação dos desafios",não tenho;,como mentalizar o que devo fazer antes de programar. Guiando meus pensamentos para resolver,"Ideias que fazem muito sentido e são funcionais demais da conta, pois a organização fica ótima e a forma de resolver, melhor ainda.","sim, com certeza. Pois com elas aprendo a como pensar de forma correta para solucionar e por minhas ideias em prática.",a aula em si já é de um cunho muito satisfatório
aluno 02,56,aluno 02,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,5.0,3.0,"Foi uma aula dinâmica, objetiva e com boa comunicação.",Não consegui opinar.,O quê é um algoritmo,Não lembro,Talvez sim,Não
aluno 03,41,aluno 03,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0,4.0,5.0,4.0,3.0,"1: É o meu primeiro exercício em programação;
 2: A introdução a lógica computacional;
 3: A explicação do professor.","1: O projetor não estava muito bom em minha localização;
 2: As vezes ficava ruim de compreender certas informações, não por falta de explicação do professor mas por minha própria parte;
 3: Foi muito curta.",A introdução a lógica e novas informações.,"A criatividade na resolução de problemas, aliada da simplicidade (otimização) do código.","É de bastante utilidade pois é a introdução as bases da computação, sendo que sem ela não poderei me desenvolver bem.",Melhorar o projetor e a internet.
aluno 04,25,aluno 04,2,S,2.5,P,1.25,P,1.25,N,0.0,5.0,,,,,,,,,,
aluno 05,26,aluno 05,3,S,2.5,S,2.5,S,2.5,N,0.0,7.5,,,,,,,,,,
aluno 06,20,aluno 06,3,S,2.5,P,1.25,P,1.25,N,0.0,5.0,5.0,5.0,4.0,4.0,"Avaliação recebida, entendimento da decomposição do problema","Fiquei um pouco perdido sobre o que exatamente era pra ser feito, pois não entendia a estrutura C",Decompor o problema e pensar sobre os passos para chegar a uma determinada ação,"Decompor o problema para facilitar o entendimento e o que fazer, abstração para focar no mais importante, reconhecimento de padrões para","Sim, pois com os ensinamentos sobre a estrutura dos códigos e o uso do pensamento computacional, poderei otimizar meu próprio pensamento e, futuramente, trabalhar melhor",Não
aluno 07,43,aluno 07,2,S,2.5,S,2.5,S,2.5,N,0.0,7.5,,,,,,,,,,
aluno 08,65,aluno 08,3,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,
aluno 09,40,aluno 09,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 10,50,aluno 10,2,S,2.5,P,1.25,P,1.25,N,0.0,5.0,2.0,5.0,5.0,4.0,"Boa comunicação, exemplos bons do cotidiano e boa didática.","Achei os exemplos envolvendo comida um tanto confusos, mesmo que a ideia tenha sido boa. Não tenho mais críticas.",As bases do pensamento computacional.,"A decomposição, o reconhecimento de padrões, abstração e algoritmo são as bases necessárias para construir uma linha lógico-computacional, e é eficaz em várias áreas principalmente na resolução de problemas complexos.","Sim, pois assim consiguirei desenvolver minhas habilidades envolvendo programação.",não
