ID,USERID,NOME,EXPERIENCIA,ALG_02,BASE_ALG_02,DEC_02,BASE_DEC_02,REC_02,BASE_REC_02,ABS_02,BASE_ABS_02,TOTAL_ATIVIDADE_02,A atividade foi muito bem organizada.,O professor era muito bem informado sobre o assunto que ensinava.,O professor era muito bom na comunicação.,O professor foi motivador e entusiasta.,"Por favor, indique as três coisas que você mais gostou na aula e por quê?","Por favor, indique as três coisas que você não gostou na aula e por quê?",Quais as bases do Pensamento Computacional você usou na atividade? E por quê?,Qual foi a coisa mais importante que você aprendeu com essa aula?,Você acha que as lições da aula serão úteis para o crescimento de sua carreira? Por quê?,Você tem algum comentário ou sugestão para ajudar a melhorar essa aula?
aluno 01,63,aluno 01,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 02,56,aluno 02,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,4.0,4.0,5.0,5.0,"didática, fluidez e proporção de conhecimento adquirido.",lasanha deu fome.,"Algoritmos, porque criei uma sequência de passos para resolver
 Abstração, ignorei aspectos irrelevantes para o trabalho",desenvolver um código.,talvez,não
aluno 03,41,aluno 03,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0,4.0,5.0,4.0,3.0,"1: Interação com os amigos e com os professor;
 2: A receita que escolhe;
 3: A prática e adquerimento de novas informações sobre programação e lógica de programação.","1: A escassez de tempo dos professores para perguntas mais detalhadas sobre o tema;
 2: A falta de internet;
 3: A velocidade que o curso se desenvolveu.","A lógica na construção de um programa e a estratégia de desconstruir um grande problema em pequenas partes.
 Utilizei porquê pois ajudar a manter um raciocínio coerente até a conclusão do problema.",A lógica de programação,Serão de suma importância pois é nela que aprende as bases da programação e sem uma boa base dificilmente irei ir longe.,Melhorar o projetor e a internet.
aluno 04,25,aluno 04,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 05,26,aluno 05,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 06,20,aluno 06,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,4.0,4.0,"Introdução e aproximação a programação, gostei pois gosto da área.",Não lembro,"Decomposição para separar ações, reconhecimento de padrões para colocar no fogo por determinado tempo e temperatura",A estrutura em C,"Sim, pois posso me organizar melhor em códigos futuros",Não
aluno 07,43,aluno 07,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 08,65,aluno 08,3,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,
aluno 09,40,aluno 09,2,,0.0,,0.0,,0.0,,0.0,0.0,5.0,5.0,5.0,5.0,DINAMICA E INTERAÇÃO,FALTOU A INTEGRAÇÃO,"DECOMPOSICAO, ABSTRAÇÃO, RECONHECIMENTO DE PADRÕES E PENSAMENTO ALGORITIMO.",PRA MIM TODAS SAO IMPORTANTES MAS A ABSTRACAO FICOU MARCADA,COM CERTEZA POIS O PASSO INICIAL COMEÇA COM O APRENDIZADO INICIAL E A CONCATENACAO DE IDEIAS.,PODERIA TRABALHAR O COLETIVO POIS NA COMPUTACAO VEJO MUITO O LADO INDIVIDUAL
aluno 10,50,aluno 10,2,P,1.25,S,2.5,S,2.5,S,2.5,8.75,2.0,5.0,5.0,5.0,"Gostei da ideia de usar a analogia da receita, senti vontade de ter esse contato no início do técnico, pois fica bem mais claro a associação com o algoritmo na linguagem em si. Gostei dos exemplos e da didática.","Das atividades em si, acho que ficou muito confuso, muita exigência como se a receita fosse de fato um programa. Acho que se tivesse mantido na analogia seria mais simples. Foi até complicado de relacionar com as bases do pensamento computacional.","Decomposição, reconhecimento de padrões, abstração e algoritmo. A decomposição foi decompor toda a receita, depois aplicamos ""variáveis"" a elas, abstraímos e começamos a seguir uma lógica algoritma na receita.",A prática das bases do pensamento computacional.,"sim, apesar de achar as atividades confusas, a analogia da receita foi boa, e de certa forma me recordarei.",não.
