ID,USERID,EXPERIENCIA,TOTAL_CP,TOTAL_ATIVIDADE_01,QUESTIONARIO_01,ENGAJAMENTO_01,TOTAL_ATIVIDADE_02,QUESTIONARIO_02,ENGAJAMENTO_02,TOTAL_ATIVIDADE_03,ENGAJAMENTO_03
aluno 01,63,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",0.0,10.0,100.0,67,9,,80,0,66.0
aluno 02,56,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",7.275,10.0,100.0,100,9,100.0,100,10,100.0
aluno 03,41,"Não, será o primeiro contato.",5.41,10.0,100.0,100,10,100.0,100,10,100.0
aluno 04,25,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",3.125,5.0,0.0,67,10,,80,9,83.5
aluno 05,26,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",7.695,7.5,0.0,67,9,,80,10,83.5
aluno 06,20,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",3.33,5.0,100.0,100,9,100.0,100,0,50.0
aluno 07,43,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",3.33,7.5,0.0,67,9,,80,9,83.5
aluno 08,65,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",0.0,0.0,0.0,0,0,,0,0,0.0
aluno 09,40,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",0.83,10.0,0.0,67,0,100.0,80,0,40.0
aluno 10,50,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",6.24,5.0,100.0,100,7,100.0,100,4,100.0
aluno 11,35,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",6.66,10.0,,67,10,,80,9,83.5
aluno 12,36,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",5.615,10.0,,67,10,100.0,80,10,83.5
aluno 13,34,"Não, será o primeiro contato.",5.41,2.5,100.0,100,10,,100,10,100.0
aluno 14,48,"Não, será o primeiro contato.",7.285,7.5,,67,9,,80,10,83.5
aluno 15,53,"Não, será o primeiro contato.",1.875,5.0,,67,8,,80,0,40.0
aluno 16,45,"Não, será o primeiro contato.",1.67,0.0,,33,0,,40,0,20.0
aluno 17,39,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",0.0,5.0,,33,10,100.0,80,10,66.5
aluno 18,38,"Sim, muita experiência mas não trabalho na área.",5.83,10.0,100.0,100,9,100.0,100,8,100.0
aluno 19,54,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",4.795,6.25,,67,9,,80,5,83.5
aluno 20,30,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",4.375,5.0,100.0,100,10,100.0,100,8,100.0
aluno 21,22,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",6.445,10.0,100.0,100,10,,100,10,100.0
aluno 22,49,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",5.83,7.5,100.0,100,10,100.0,100,9,100.0
aluno 24,44,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",2.08,0.0,,33,9,100.0,80,0,50.0
aluno 25,46,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",1.455,10.0,,67,9,100.0,80,9,83.5
aluno 26,51,"Não, será o primeiro contato.",4.375,5.0,,67,8,,80,0,40.0
aluno 27,57,"Sim, muita experiência mas não trabalho na área.",0.0,5.0,,67,9,,80,10,83.5
aluno 28,27,"Não, será o primeiro contato.",4.59,5.0,,67,8,,80,10,83.5
aluno 29,60,"Não, será o primeiro contato.",0.0,0.0,,0,0,,0,0,0.0
aluno 30,21,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",5.205,6.25,100.0,100,10,100.0,100,10,100.0
aluno 31,18,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",2.5,10.0,,67,10,,80,9,83.5
aluno 32,23,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",2.5,7.5,,67,10,,80,9,83.5
aluno 33,29,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",4.58,5.0,,67,9,,80,4,83.5
aluno 34,31,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",2.08,8.75,,67,10,,80,0,50.0
aluno 35,37,"Não, será o primeiro contato.",3.75,5.0,100.0,100,9,100.0,100,5,100.0
aluno 36,47,"Não, será o primeiro contato.",1.875,0.0,100.0,50,10,100.0,80,0,50.0
aluno 37,42,"Não, será o primeiro contato.",2.92,7.5,,100,10,100.0,100,10,100.0
aluno 38,52,"Não, será o primeiro contato.",5.82,10.0,,100,10,,80,0,50.0
aluno 39,28,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",3.955,10.0,,100,9,100.0,100,9,100.0
