ID,USERID,VPL,TYPE,SERVER,START_TIME,ADMINTICKET
5,2,2,0,http://demojail.dis.ulpgc.es,1626898269,603134810696776
11,2,4,0,http://demojail.dis.ulpgc.es,1626910021,129938434717637
13,3,4,0,http://demojail.dis.ulpgc.es,1626910593,93083055120057
16,2,1,0,http://demojail.dis.ulpgc.es,1642010774,6214438791926
21,3,5,0,http://demojail.dis.ulpgc.es,1653347887,73712603561368
36,2,7,0,http://demojail.dis.ulpgc.es,1653421759,35034599935530
39,2,10,0,http://demojail.dis.ulpgc.es,1653422607,38795814455905
42,2,13,0,http://demojail.dis.ulpgc.es,1653422926,104332341350443
57,3,9,0,http://demojail.dis.ulpgc.es,1653425762,98181106486399
63,3,10,0,http://demojail.dis.ulpgc.es,1653426400,68736826918425
66,2,11,0,http://demojail.dis.ulpgc.es,1653426725,166811644425754
67,2,12,0,http://demojail.dis.ulpgc.es,1653427041,579179514768248
74,3,12,0,http://demojail.dis.ulpgc.es,1653427539,139467305087873
75,3,8,0,http://demojail.dis.ulpgc.es,1655135433,48398825838774
10163,34,71,0,http://demojail.dis.ulpgc.es,1682127078,15183779435815
10529,2,92,0,http://demojail.dis.ulpgc.es,1682273495,104543916545452
14544,36,91,0,http://demojail.dis.ulpgc.es,1682652092,97747247832153
15452,2,93,0,http://demojail.dis.ulpgc.es,1682705039,25343332023766
16954,60,87,0,http://demojail.dis.ulpgc.es,1682774476,1644574815102571
18040,30,80,0,http://demojail.dis.ulpgc.es,1682872949,68981267904308
18494,57,84,0,http://demojail.dis.ulpgc.es,1682901153,1541735316221966
19351,58,76,2,http://demojail.dis.ulpgc.es,1683073024,22127084594071
19676,38,92,0,http://demojail.dis.ulpgc.es,1683143462,90449144087647
20034,42,95,2,http://demojail.dis.ulpgc.es,1683229853,60704713533042
20291,64,69,0,http://demojail.dis.ulpgc.es,1683279393,114776189691625
20537,26,97,0,http://demojail.dis.ulpgc.es,1683290105,10808104188852
20663,27,96,0,http://demojail.dis.ulpgc.es,1683294338,32397857016938
21317,40,80,0,http://demojail.dis.ulpgc.es,1683545970,4447093028567
21469,63,77,0,http://demojail.dis.ulpgc.es,1683553874,2023924413883
24421,41,100,0,http://demojail.dis.ulpgc.es,1683988670,237269510460481
25153,30,102,0,http://demojail.dis.ulpgc.es,1684171980,30731262686338
25361,64,100,0,http://demojail.dis.ulpgc.es,1684326930,154911094004566
26660,40,92,2,http://demojail.dis.ulpgc.es,1684526846,1533509316620563
26735,50,100,0,http://demojail.dis.ulpgc.es,1684527560,387813515650571
27805,65,102,0,http://demojail.dis.ulpgc.es,1684616850,136655510882421
27980,30,112,0,http://demojail.dis.ulpgc.es,1684674169,4489308512962
28361,34,119,0,http://demojail.dis.ulpgc.es,1684697512,13559911674094
28749,23,116,0,http://demojail.dis.ulpgc.es,1684713085,102117057222282
29209,36,118,0,http://demojail.dis.ulpgc.es,1684764805,"1,65656E+15"
29560,45,104,0,http://demojail.dis.ulpgc.es,1684775015,162919569506852
31324,2,103,0,http://demojail.dis.ulpgc.es,1685101260,1260507916514306
31746,49,116,2,http://demojail.dis.ulpgc.es,1685323857,79385731000652
32004,21,118,0,http://demojail.dis.ulpgc.es,1685378729,12771856061503
32038,56,120,2,http://demojail.dis.ulpgc.es,1685379142,160308878148478
32236,47,108,0,http://demojail.dis.ulpgc.es,1685381120,23744416248824
32425,29,116,0,http://demojail.dis.ulpgc.es,1685410254,144563546250597
32684,38,98,0,http://demojail.dis.ulpgc.es,1685544948,20643306297991
32729,51,98,0,http://demojail.dis.ulpgc.es,1685559550,252006713572233
32750,47,98,0,http://demojail.dis.ulpgc.es,1685576076,1162116716570701
32767,23,98,0,http://demojail.dis.ulpgc.es,1685579399,1398501711322288
32770,48,98,0,http://demojail.dis.ulpgc.es,1685580071,37545741347924
32787,50,98,0,http://demojail.dis.ulpgc.es,1685582860,976127315193933
32803,49,119,0,http://demojail.dis.ulpgc.es,1685668025,812202511701361
33277,46,103,0,http://demojail.dis.ulpgc.es,1686186776,52904158505411
33442,21,120,0,http://demojail.dis.ulpgc.es,1686442770,44825254002671
33573,40,118,0,http://demojail.dis.ulpgc.es,1686848975,102944088519676
33765,38,120,0,http://demojail.dis.ulpgc.es,1686941890,60024338577567
33851,46,120,0,http://demojail.dis.ulpgc.es,1687197410,853633913784802
33912,20,40,2,http://demojail.dis.ulpgc.es,1695857415,27453059876542
33913,27,40,2,http://demojail.dis.ulpgc.es,1695857420,927620616036204
33916,39,120,0,http://demojail.dis.ulpgc.es,1696356220,767058310115971
