ID,Carimbo de data/hora,Nome:,Gênero:,Qual sua faixa etária (idade)?,É a primeira vez que você cursa a disciplina de Programação Estruturada?,"Se a resposta anterior foi ""Não"", informe o motivo?",Você possui alguma experiência na Área de Programação?,Qual o principal motivo para você ter escolhido o curso de Bacharelado em Ciência da Computação?,"Se você marcou na pergunta anterior ""Outro"" informe o motivo abaixo:",Qual a principal razão para você ter escolhido o IFMA Campus Caxias para cursar a graduação?,"Se você marcou na pergunta anterior ""Outro"" informe o motivo abaixo:.1",Qual seu estado civil?,Qual é a sua cor/etnia?,Possui filho(a)(s)?,Qual o principal meio de transporte que você utiliza para chegar à Universidade?,Onde você frequentou o Ensino Fundamental?,Onde você frequentou o Ensino Médio?,Qual modalidade de ensino médio você concluiu?,"Se na pergunta anterior você marcou ""Profissionalizante técnico"". Qual foi o curso e onde você cursou?","Quantas horas por semana, aproximadamente, você pode dedicar aos estudos (excetuando as horas de aula)?",Onde você morava antes de ingressar no IFMA Campus Caxias?,Onde e como você reside enquanto cursa o Bach. em Ciência da Computação no IFMA?,"Caso sua família resida fora de Caxias, qual é sua frequência de retorno para casa?",Você desenvolve atualmente alguma atividade remunerada?,Caso tenha respondido afirmativamente pergunta anterior: qual o vínculo da atividade?,Caso tenha respondido a pergunta anterior: a atividade que você desempenha tem afinidade com o curso de Bacharelado em Ciência da Computação?,"Caso tenha respondido ""Sim"" na pergunta anterior: a atividade que você desempenha é na área de Programação de Computadores?"
aluno 01,3/24/2023 8:18:30,aluno 01,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Vocação,,Oferta do curso pretendido,,Solteiro(a),Parda,Não,BusIFMA,Todo em escola pública,Todo em escola pública,Ensino médio tradicional,,Mais de doze horas,Caxias,"Em casa ou apartamento, com sua família",,Não.,,,
aluno 02,3/24/2023 22:11:24,aluno 02,Masculino,Menor de 18 anos,Sim,,"Não, será o primeiro contato.",Inserção no mercado de trabalho,,Oferta do curso pretendido,,Solteiro(a),Parda,Não,BusIFMA,Todo em escola particular,Todo em escola particular,Ensino médio tradicional,,De uma a três horas,Caxias,"Em casa ou apartamento, com sua família",,Não.,,,
aluno 03,3/24/2023 22:13:13,aluno 03,Masculino,Entre 18 e 25 anos,Não,Cursei no Técnico de informática no ifma,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Valorização profissional,,Proximidade da minha residência,,Solteiro(a),Parda,Não,BusIFMA,Todo em escola pública,Todo em escola pública,Profissionalizante técnico,Curso Técnico em Informática no Ifma Campus Caxias,De uma a três horas,Caxias,"Em casa ou apartamento, com sua família",,Não.,,,
aluno 04,3/24/2023 22:16:49,aluno 04,Masculino,Acima de 30 anos,Sim,,"Não, será o primeiro contato.",Possibilidade de conciliar trabalho e estudo,,Oferta do curso pretendido,,Casado(a),Branca,"Sim, 1 filho(a)",Transporte próprio (carro/moto),Todo em escola pública,Maior parte em escola pública,Educação de Jovens e Adulto (EJA) e/ou supletivo.,,De quatro a sete horas,Caxias,"Em casa ou apartamento, com sua família",,"Sim, em período parcial.",Atividade autônoma,Não,
aluno 05,3/24/2023 22:22:38,aluno 05,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Vocação,,Oferta do curso pretendido,,Solteiro(a),Parda,Não,Transporte Coletivo,Todo em escola pública,Todo em escola pública,Profissionalizante técnico,,De uma a três horas,Caxias,"Em casa ou apartamento, com sua família",,Não.,,,
aluno 06,3/24/2023 22:34:16,aluno 06,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Vocação,,Oferta do curso pretendido,,Solteiro(a),Branca,Não,BusIFMA,Todo em escola particular,Todo em escola pública,Profissionalizante técnico,Tecnico em Eletromecanica cursado no IFMA Campus Timon,De quatro a sete horas,Cidades vizinhas (mais próximas a Caxias),"Em habitação coletiva: hotel, hospedaria, quartel, pensionato, república, etc.",Todo fim de semana.,Não.,,,
aluno 07,3/24/2023 22:36:42,aluno 07,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Vocação,,Proximidade da minha residência,,Solteiro(a),Branca,Não,BusIFMA,Todo em escola pública,Todo em escola pública,Ensino médio tradicional,,Mais de doze horas,Caxias,"Em casa ou apartamento, com sua família",,Não.,,,
aluno 08,3/25/2023 9:41:10,aluno 08,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Inserção no mercado de trabalho,,Proximidade da minha residência,,Solteiro(a),Parda,Não,BusIFMA,Todo em escola particular,Todo em escola pública,Ensino médio tradicional,,Mais de doze horas,Cidades vizinhas (mais próximas a Caxias),"Em casa ou apartamento, sozinho(a)",Quinzenalmente.,Não.,,,
aluno 09,3/25/2023 11:38:21,aluno 09,Masculino,Entre 18 e 25 anos,Não,Já fiz a disciplina no ensino técnico de informática,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Valorização profissional,,Oferta do curso pretendido,,Solteiro(a),Parda,Não,BusIFMA,Todo em escola pública,Todo em escola pública,Profissionalizante técnico,Técnico em Informática e Comunicação no IFMA Campus Caxias,De uma a três horas,Caxias,"Em casa ou apartamento, com sua família",,Não.,,,
aluno 10,3/25/2023 17:44:58,aluno 10,Feminino,Menor de 18 anos,Sim,,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Valorização profissional,,Proximidade da minha residência,,Solteiro(a),Branca,Não,BusIFMA,Todo em escola pública,Todo em escola pública,Profissionalizante técnico,Técnico em informática. No próprio campus.,De oito a doze horas,Caxias,"Em casa ou apartamento, com sua família",,Não.,,,
