USERID,VPL,ID_vpl,DATESSUBMITTED,COMMENTS,DATEGRADED,GRADE,DATA_ENVIO,DATA_AVALIACAO,NOTA,CONTAGEM,ID_alunos,NAME,ATRASO,ENTREGA_NO_PRAZO,NOME
18,40,7953,1682186071,,1682186131,1.000.000,2023-04-22 17:54:31,2023-04-22 17:55:31,10.0,7,40,Questão 01,True,False,Aluno 31
18,41,364,1681145789,,1681145794,1.000.000,2023-04-10 16:56:29,2023-04-10 16:56:34,10.0,3,41,Questão 02,False,True,Aluno 31
18,42,406,1681146045,,1681146092,1.000.000,2023-04-10 17:00:45,2023-04-10 17:01:32,10.0,2,42,Questão 03,False,True,Aluno 31
18,43,422,1681146245,,1681146290,1.000.000,2023-04-10 17:04:05,2023-04-10 17:04:50,10.0,1,43,Questão 04,False,True,Aluno 31
18,44,457,1681146545,,1681146553,1.000.000,2023-04-10 17:09:05,2023-04-10 17:09:13,10.0,2,44,Questão 05,False,True,Aluno 31
18,45,559,1681147133,,1681147154,1.000.000,2023-04-10 17:18:53,2023-04-10 17:19:14,10.0,4,45,Questão 06,False,True,Aluno 31
18,46,839,1681148224,,1681148229,1.000.000,2023-04-10 17:37:04,2023-04-10 17:37:09,10.0,13,46,Questão 07,False,True,Aluno 31
18,47,887,1681148405,,1681148424,1.000.000,2023-04-10 17:40:05,2023-04-10 17:40:24,10.0,1,47,Questão 08,False,True,Aluno 31
18,48,966,1681148762,,1681148766,1.000.000,2023-04-10 17:46:02,2023-04-10 17:46:06,10.0,2,48,Questão 09,False,True,Aluno 31
18,49,1094,1681149229,,1681149258,1.000.000,2023-04-10 17:53:49,2023-04-10 17:54:18,10.0,3,49,Questão 10,False,True,Aluno 31
18,50,1144,1681149431,,1681149448,1.000.000,2023-04-10 17:57:11,2023-04-10 17:57:28,10.0,1,50,Questão 11,False,True,Aluno 31
18,51,1899,1681259496,,1681259528,1.000.000,2023-04-12 00:31:36,2023-04-12 00:32:08,10.0,5,51,Questão 12,False,True,Aluno 31
18,53,1909,1681259960,,1681259975,1.000.000,2023-04-12 00:39:20,2023-04-12 00:39:35,10.0,3,53,Questão 13,False,True,Aluno 31
18,54,1921,1681260343,,1681260348,1.000.000,2023-04-12 00:45:43,2023-04-12 00:45:48,10.0,2,54,Questão 14,False,True,Aluno 31
18,55,1931,1681260733,,1681260753,1.000.000,2023-04-12 00:52:13,2023-04-12 00:52:33,10.0,2,55,Questão 15,False,True,Aluno 31
18,56,1938,1681260995,,1681261242,1.000.000,2023-04-12 00:56:35,2023-04-12 01:00:42,10.0,1,56,Questão 16,False,True,Aluno 31
18,57,1957,1681261573,,1681261666,1.000.000,2023-04-12 01:06:13,2023-04-12 01:07:46,10.0,2,57,Questão 17,False,True,Aluno 31
18,58,1967,1681262014,,1681262029,1.000.000,2023-04-12 01:13:34,2023-04-12 01:13:49,10.0,2,58,Questão 18,False,True,Aluno 31
18,59,1983,1681262393,,1681262417,1.000.000,2023-04-12 01:19:53,2023-04-12 01:20:17,10.0,1,59,Questão 19,False,True,Aluno 31
18,60,1999,1681262708,,1681262724,1.000.000,2023-04-12 01:25:08,2023-04-12 01:25:24,10.0,3,60,Questão 20,False,True,Aluno 31
18,61,2015,1681263053,,1681263083,1.000.000,2023-04-12 01:30:53,2023-04-12 01:31:23,10.0,1,61,Questão 21,False,True,Aluno 31
18,62,2283,1681269591,,1681269610,1.000.000,2023-04-12 03:19:51,2023-04-12 03:20:10,10.0,4,62,Questão 22,False,True,Aluno 31
18,63,2460,1681304771,,1681304790,1.000.000,2023-04-12 13:06:11,2023-04-12 13:06:30,10.0,4,63,Questão 23,False,True,Aluno 31
18,64,2467,1681304969,,1681304988,1.000.000,2023-04-12 13:09:29,2023-04-12 13:09:48,10.0,1,64,Questão 24,False,True,Aluno 31
18,65,2483,1681305312,,1681305343,1.000.000,2023-04-12 13:15:12,2023-04-12 13:15:43,10.0,2,65,Questão 25,False,True,Aluno 31
18,66,2495,1681305620,,1681305636,1.000.000,2023-04-12 13:20:20,2023-04-12 13:20:36,10.0,1,66,Questão 26,False,True,Aluno 31
18,67,2507,1681306078,,1681306095,1.000.000,2023-04-12 13:27:58,2023-04-12 13:28:15,10.0,2,67,Questão 27,False,True,Aluno 31
18,68,5615,1681645929,,1681645939,1.000.000,2023-04-16 11:52:09,2023-04-16 11:52:19,10.0,36,68,Questão DESAFIO!,False,True,Aluno 31
20,40,866,1681148323,,1681148409,1.000.000,2023-04-10 17:38:43,2023-04-10 17:40:09,10.0,10,40,Questão 01,False,True,Aluno 06
20,41,944,1681148619,,1681148653,1.000.000,2023-04-10 17:43:39,2023-04-10 17:44:13,10.0,1,41,Questão 02,False,True,Aluno 06
20,42,1301,1681171035,,1681171349,1.000.000,2023-04-10 23:57:15,2023-04-11 00:02:29,10.0,11,42,Questão 03,False,True,Aluno 06
20,43,1415,1681176920,,1681177365,1.000.000,2023-04-11 01:35:20,2023-04-11 01:42:45,10.0,16,43,Questão 04,False,True,Aluno 06
20,44,3955,1681503264,,1681503314,1.000.000,2023-04-14 20:14:24,2023-04-14 20:15:14,10.0,4,44,Questão 05,False,True,Aluno 06
20,45,4047,1681503792,,1681503809,1.000.000,2023-04-14 20:23:12,2023-04-14 20:23:29,10.0,5,45,Questão 06,False,True,Aluno 06
20,46,4104,1681504159,,1681504183,1.000.000,2023-04-14 20:29:19,2023-04-14 20:29:43,10.0,3,46,Questão 07,False,True,Aluno 06
20,47,4168,1681504441,,1681504444,1.000.000,2023-04-14 20:34:01,2023-04-14 20:34:04,10.0,3,47,Questão 08,False,True,Aluno 06
20,48,4201,1681504654,,1681504674,1.000.000,2023-04-14 20:37:34,2023-04-14 20:37:54,10.0,2,48,Questão 09,False,True,Aluno 06
20,49,4265,1681505027,,1681505038,1.000.000,2023-04-14 20:43:47,2023-04-14 20:43:58,10.0,4,49,Questão 10,False,True,Aluno 06
20,50,4350,1681505574,,1681505577,1.000.000,2023-04-14 20:52:54,2023-04-14 20:52:57,10.0,2,50,Questão 11,False,True,Aluno 06
20,51,4376,1681505771,,1681505775,1.000.000,2023-04-14 20:56:11,2023-04-14 20:56:15,10.0,1,51,Questão 12,False,True,Aluno 06
20,53,4391,1681505980,,1681505983,1.000.000,2023-04-14 20:59:40,2023-04-14 20:59:43,10.0,1,53,Questão 13,False,True,Aluno 06
20,54,4452,1681506383,,1681506387,1.000.000,2023-04-14 21:06:23,2023-04-14 21:06:27,10.0,2,54,Questão 14,False,True,Aluno 06
20,55,4499,1681506774,,1681506780,1.000.000,2023-04-14 21:12:54,2023-04-14 21:13:00,10.0,2,55,Questão 15,False,True,Aluno 06
20,56,6096,1681691092,,1681691130,1.000.000,2023-04-17 00:24:52,2023-04-17 00:25:30,10.0,5,56,Questão 16,False,True,Aluno 06
20,57,6238,1681722968,,1681722975,1.000.000,2023-04-17 09:16:08,2023-04-17 09:16:15,10.0,2,57,Questão 17,False,True,Aluno 06
20,58,6240,1681723954,,1681723958,1.000.000,2023-04-17 09:32:34,2023-04-17 09:32:38,10.0,2,58,Questão 18,False,True,Aluno 06
20,59,6492,1681750382,,1681750407,1.000.000,2023-04-17 16:53:02,2023-04-17 16:53:27,10.0,4,59,Questão 19,False,True,Aluno 06
20,60,6476,1681750166,,1681750431,1.000.000,2023-04-17 16:49:26,2023-04-17 16:53:51,10.0,1,60,Questão 20,False,True,Aluno 06
20,61,6538,1681750860,,1681750864,1.000.000,2023-04-17 17:01:00,2023-04-17 17:01:04,10.0,2,61,Questão 21,False,True,Aluno 06
