USERID,VPL,ID_vpl,DATESSUBMITTED,COMMENTS,GRADER,DATEGRADED,GRADE,MAILED,HIGHLIGHT,NEVALUATIONS,GROUPID,DATA_ENVIO,DATA_AVALIACAO,NOTA,CONTAGEM,NOME_ALUNO,ID_alunos,NAME,ATRASO,ENTREGA_NO_PRAZO
18,75,13578,1682861234,,0,1682861238,10.000.000,0,0,2,0,2023-04-30 13:27:14,2023-04-30 13:27:18,10.0,3,aluno 30,75,Questão 15,False,True
18,76,13571,1682860927,,0,1682860931,1.000.000,0,0,3,0,2023-04-30 13:22:07,2023-04-30 13:22:11,10.0,3,aluno 30,76,Questão 14,False,True
18,77,13598,1682863080,,0,1682863084,1.000.000,0,0,3,0,2023-04-30 13:58:00,2023-04-30 13:58:04,10.0,8,aluno 30,77,Questão 16,False,True
18,79,8392,1682354662,,0,1682354666,1.000.000,0,0,2,0,2023-04-24 16:44:22,2023-04-24 16:44:26,10.0,9,aluno 30,79,Questão 1,False,True
18,80,8465,1682355019,,0,1682355038,1.000.000,0,0,1,0,2023-04-24 16:50:19,2023-04-24 16:50:38,10.0,4,aluno 30,80,Questão 2,False,True
18,81,8602,1682355572,,0,1682355619,1.000.000,0,0,1,0,2023-04-24 16:59:32,2023-04-24 17:00:19,10.0,2,aluno 30,81,Questão 3,False,True
18,82,8682,1682355867,,0,1682355898,1.000.000,0,0,1,0,2023-04-24 17:04:27,2023-04-24 17:04:58,10.0,2,aluno 30,82,Questão 4,False,True
18,83,8807,1682356336,,0,1682356357,1.000.000,0,0,1,0,2023-04-24 17:12:16,2023-04-24 17:12:37,10.0,2,aluno 30,83,Questão 5,False,True
18,84,8894,1682356771,,0,1682356809,1.000.000,0,0,1,0,2023-04-24 17:19:31,2023-04-24 17:20:09,10.0,2,aluno 30,84,Questão 6,False,True
18,85,9406,1682359178,,0,1682359197,1.000.000,0,0,1,0,2023-04-24 17:59:38,2023-04-24 17:59:57,10.0,12,aluno 30,85,Questão 7,False,True
18,86,9530,1682386513,,0,1682386533,1.000.000,0,0,1,0,2023-04-25 01:35:13,2023-04-25 01:35:33,10.0,4,aluno 30,86,Questão 8,False,True
18,87,12015,1682714140,,0,1682714148,1.000.000,0,0,4,0,2023-04-28 20:35:40,2023-04-28 20:35:48,10.0,9,aluno 30,87,Questão 9,False,True
18,88,10231,1682596283,,0,1682596303,1.000.000,0,0,1,0,2023-04-27 11:51:23,2023-04-27 11:51:43,10.0,1,aluno 30,88,Questão 10,False,True
18,90,12106,1682714518,,0,1682714522,1.000.000,0,0,3,0,2023-04-28 20:41:58,2023-04-28 20:42:02,10.0,4,aluno 30,90,Questão 11,False,True
18,91,11082,1682681656,"Enviado por Administrador Usuário
",0,1682681666,1.000.000,0,0,6,0,2023-04-28 11:34:16,2023-04-28 11:34:26,10.0,15,aluno 30,91,Questão 12,False,True
18,94,14657,1682996792,,0,1682996849,10.000.000,0,0,2,0,2023-05-02 03:06:32,2023-05-02 03:07:29,10.0,5,aluno 30,94,Questão 18,False,True
18,95,13841,1682884928,,0,1682884952,10.000.000,0,0,1,0,2023-04-30 20:02:08,2023-04-30 20:02:32,10.0,1,aluno 30,95,Questão 17,False,True
20,75,15951,1683318798,,0,1683318810,10.000.000,0,0,2,0,2023-05-05 20:33:18,2023-05-05 20:33:30,10.0,3,aluno 06,75,Questão 15,False,True
20,76,15939,1683318327,,0,1683318331,1.000.000,0,0,3,0,2023-05-05 20:25:27,2023-05-05 20:25:31,10.0,6,aluno 06,76,Questão 14,False,True
20,77,16036,1683321634,,0,1683321638,1.000.000,0,0,6,0,2023-05-05 21:20:34,2023-05-05 21:20:38,10.0,19,aluno 06,77,Questão 16,False,True
20,79,10493,1682608013,,0,1682608018,1.000.000,0,0,16,0,2023-04-27 15:06:53,2023-04-27 15:06:58,10.0,16,aluno 06,79,Questão 1,False,True
20,80,10503,1682608652,,0,1685752751,1.000.000,0,0,5,0,2023-04-27 15:17:32,2023-06-03 00:39:11,10.0,7,aluno 06,80,Questão 2,False,True
20,81,11892,1682713585,,0,1682713590,1.000.000,0,0,4,0,2023-04-28 20:26:25,2023-04-28 20:26:30,10.0,9,aluno 06,81,Questão 3,False,True
20,82,11950,1682713853,,0,1682713857,1.000.000,0,0,1,0,2023-04-28 20:30:53,2023-04-28 20:30:57,10.0,1,aluno 06,82,Questão 4,False,True
20,83,11997,1682714028,,0,1682714032,1.000.000,0,0,1,0,2023-04-28 20:33:48,2023-04-28 20:33:52,10.0,2,aluno 06,83,Questão 5,False,True
20,84,12242,1682715064,,0,1682715068,1.000.000,0,0,9,0,2023-04-28 20:51:04,2023-04-28 20:51:08,10.0,11,aluno 06,84,Questão 6,False,True
20,85,15171,1683201847,,0,1683201851,1.000.000,0,0,10,0,2023-05-04 12:04:07,2023-05-04 12:04:11,10.0,19,aluno 06,85,Questão 7,False,True
20,86,15191,1683203595,,0,1683203599,1.000.000,0,0,5,0,2023-05-04 12:33:15,2023-05-04 12:33:19,10.0,6,aluno 06,86,Questão 8,False,True
20,87,15218,1683204824,,0,1683204827,1.000.000,0,0,1,0,2023-05-04 12:53:44,2023-05-04 12:53:47,10.0,8,aluno 06,87,Questão 9,False,True
20,88,15259,1683210611,,0,1683210617,1.000.000,0,0,2,0,2023-05-04 14:30:11,2023-05-04 14:30:17,10.0,3,aluno 06,88,Questão 10,False,True
20,90,15669,1683288352,,0,1683288356,1.000.000,0,0,2,0,2023-05-05 12:05:52,2023-05-05 12:05:56,10.0,8,aluno 06,90,Questão 11,False,True
20,91,15812,1683294076,,0,1683294113,1.000.000,0,0,7,0,2023-05-05 13:41:16,2023-05-05 13:41:53,10.0,20,aluno 06,91,Questão 12,False,True
20,94,19399,1683888504,,0,1683888515,10.000.000,0,0,4,0,2023-05-12 10:48:24,2023-05-12 10:48:35,10.0,35,aluno 06,94,Questão 18,True,False
20,95,16037,1683326165,,0,1683326183,10.000.000,0,0,1,0,2023-05-05 22:36:05,2023-05-05 22:36:23,10.0,1,aluno 06,95,Questão 17,False,True
21,75,15493,1683252704,,0,1683252708,10.000.000,0,0,1,0,2023-05-05 02:11:44,2023-05-05 02:11:48,10.0,5,aluno 29,75,Questão 15,False,True
21,76,15475,1683252259,,0,1683252268,1.000.000,0,0,3,0,2023-05-05 02:04:19,2023-05-05 02:04:28,10.0,18,aluno 29,76,Questão 14,False,True
21,77,16112,1683413082,,0,1683413366,1.000.000,0,0,2,0,2023-05-06 22:44:42,2023-05-06 22:49:26,10.0,44,aluno 29,77,Questão 16,False,True
21,79,9886,1682553704,,0,1682553711,667.000,0,0,4,0,2023-04-27 00:01:44,2023-04-27 00:01:51,6.67,9,aluno 29,79,Questão 1,False,True
21,80,10043,1682559688,,0,1682559702,1.000.000,0,0,1,0,2023-04-27 01:41:28,2023-04-27 01:41:42,10.0,4,aluno 29,80,Questão 2,False,True
21,81,10066,1682560106,,0,1682560125,1.000.000,0,0,1,0,2023-04-27 01:48:26,2023-04-27 01:48:45,10.0,2,aluno 29,81,Questão 3,False,True
21,82,10088,1682560696,,0,1682560700,1.000.000,0,0,2,0,2023-04-27 01:58:16,2023-04-27 01:58:20,10.0,3,aluno 29,82,Questão 4,False,True
21,83,10092,1682560825,,0,1682560836,1.000.000,0,0,1,0,2023-04-27 02:00:25,2023-04-27 02:00:36,10.0,2,aluno 29,83,Questão 5,False,True
21,84,10140,1682564689,,0,1682564693,1.000.000,0,0,2,0,2023-04-27 03:04:49,2023-04-27 03:04:53,10.0,7,aluno 29,84,Questão 6,False,True
21,85,10167,1682566626,,0,1682566630,1.000.000,0,0,3,0,2023-04-27 03:37:06,2023-04-27 03:37:10,10.0,9,aluno 29,85,Questão 7,False,True
21,86,10912,1682648005,,0,1682648038,1.000.000,0,0,3,0,2023-04-28 02:13:25,2023-04-28 02:13:58,10.0,18,aluno 29,86,Questão 8,False,True
21,87,11995,1682714025,,0,1682714046,1.000.000,0,0,1,0,2023-04-28 20:33:45,2023-04-28 20:34:06,10.0,32,aluno 29,87,Questão 9,False,True
