ID,VPL,USERID,DATESSUBMITTED,COMMENTS,DATEGRADED,GRADE,DATA_ENVIO,DATA_AVALIACAO,NOTA
19570,103,26,1684168194,,0,,2023-05-15 16:29:54,1970-01-01 00:00:00,
19575,103,51,1684168266,,0,,2023-05-15 16:31:06,1970-01-01 00:00:00,
19577,103,51,1684168312,,0,,2023-05-15 16:31:52,1970-01-01 00:00:00,
19578,103,51,1684168338,,0,,2023-05-15 16:32:18,1970-01-01 00:00:00,
19579,104,26,1684168348,,0,,2023-05-15 16:32:28,1970-01-01 00:00:00,
19582,103,51,1684168379,,1684168416,1.000.000,2023-05-15 16:32:59,2023-05-15 16:33:36,10.0
19585,104,26,1684168395,,0,,2023-05-15 16:33:15,1970-01-01 00:00:00,
19595,104,26,1684168503,,0,,2023-05-15 16:35:03,1970-01-01 00:00:00,
19598,104,26,1684168529,,0,,2023-05-15 16:35:29,1970-01-01 00:00:00,
19599,104,51,1684168541,,0,,2023-05-15 16:35:41,1970-01-01 00:00:00,
19602,103,36,1684168576,,0,,2023-05-15 16:36:16,1970-01-01 00:00:00,
19607,104,51,1684168597,,0,,2023-05-15 16:36:37,1970-01-01 00:00:00,
19609,104,26,1684168610,,0,,2023-05-15 16:36:50,1970-01-01 00:00:00,
19614,103,36,1684168622,,0,,2023-05-15 16:37:02,1970-01-01 00:00:00,
19621,104,51,1684168654,,1684168657,1.000.000,2023-05-15 16:37:34,2023-05-15 16:37:37,10.0
19622,103,36,1684168658,,1684168671,0,2023-05-15 16:37:38,2023-05-15 16:37:51,0.0
19623,104,26,1684168659,,0,,2023-05-15 16:37:39,1970-01-01 00:00:00,
19624,104,26,1684168686,,1684168696,0,2023-05-15 16:38:06,2023-05-15 16:38:16,0.0
19630,103,37,1684168728,,0,,2023-05-15 16:38:48,1970-01-01 00:00:00,
19638,103,37,1684168755,,0,,2023-05-15 16:39:15,1970-01-01 00:00:00,
19639,104,26,1684168758,,1684168763,1.000.000,2023-05-15 16:39:18,2023-05-15 16:39:23,10.0
19642,105,51,1684168779,,0,,2023-05-15 16:39:39,1970-01-01 00:00:00,
19645,103,26,1684168789,,0,,2023-05-15 16:39:49,1970-01-01 00:00:00,
19649,105,51,1684168815,,1684168825,1.000.000,2023-05-15 16:40:15,2023-05-15 16:40:25,10.0
19651,103,37,1684168818,,0,,2023-05-15 16:40:18,1970-01-01 00:00:00,
19654,103,26,1684168845,,0,,2023-05-15 16:40:45,1970-01-01 00:00:00,
19655,103,36,1684168862,,0,,2023-05-15 16:41:02,1970-01-01 00:00:00,
19657,103,36,1684168876,,0,,2023-05-15 16:41:16,1970-01-01 00:00:00,
19660,103,26,1684168895,,1684168907,1.000.000,2023-05-15 16:41:35,2023-05-15 16:41:47,10.0
19664,103,54,1684168923,,0,,2023-05-15 16:42:03,1970-01-01 00:00:00,
19665,106,51,1684168961,,1684168970,1.000.000,2023-05-15 16:42:41,2023-05-15 16:42:50,10.0
19671,105,26,1684169037,,0,,2023-05-15 16:43:57,1970-01-01 00:00:00,
19677,105,26,1684169071,,1684169090,1.000.000,2023-05-15 16:44:31,2023-05-15 16:44:50,10.0
19680,103,37,1684169083,,0,,2023-05-15 16:44:43,1970-01-01 00:00:00,
19683,107,51,1684169104,,1684169133,1.000.000,2023-05-15 16:45:04,2023-05-15 16:45:33,10.0
19689,103,27,1684169127,,0,,2023-05-15 16:45:27,1970-01-01 00:00:00,
19695,103,54,1684169157,,0,,2023-05-15 16:45:57,1970-01-01 00:00:00,
19697,103,27,1684169175,,0,,2023-05-15 16:46:15,1970-01-01 00:00:00,
19699,103,54,1684169183,,0,,2023-05-15 16:46:23,1970-01-01 00:00:00,
19703,103,27,1684169192,,0,,2023-05-15 16:46:32,1970-01-01 00:00:00,
19712,106,26,1684169216,,1684169233,1.000.000,2023-05-15 16:46:56,2023-05-15 16:47:13,10.0
19714,103,54,1684169231,,0,,2023-05-15 16:47:11,1970-01-01 00:00:00,
19722,103,27,1684169279,,0,,2023-05-15 16:47:59,1970-01-01 00:00:00,
19725,103,54,1684169285,,1684169300,1.000.000,2023-05-15 16:48:05,2023-05-15 16:48:20,10.0
19729,103,37,1684169307,,0,,2023-05-15 16:48:27,1970-01-01 00:00:00,
19731,104,36,1684169310,,0,,2023-05-15 16:48:30,1970-01-01 00:00:00,
19732,103,37,1684169314,,0,,2023-05-15 16:48:34,1970-01-01 00:00:00,
19742,104,36,1684169362,,0,,2023-05-15 16:49:22,1970-01-01 00:00:00,
19744,103,27,1684169367,,0,,2023-05-15 16:49:27,1970-01-01 00:00:00,
19746,103,37,1684169367,,0,,2023-05-15 16:49:27,1970-01-01 00:00:00,
19748,103,27,1684169381,,1684169395,0,2023-05-15 16:49:41,2023-05-15 16:49:55,0.0
19749,104,36,1684169383,,0,,2023-05-15 16:49:43,1970-01-01 00:00:00,
19751,103,37,1684169388,,0,,2023-05-15 16:49:48,1970-01-01 00:00:00,
19757,107,26,1684169435,,0,,2023-05-15 16:50:35,1970-01-01 00:00:00,
19760,104,54,1684169442,,0,,2023-05-15 16:50:42,1970-01-01 00:00:00,
19765,104,36,1684169473,,0,,2023-05-15 16:51:13,1970-01-01 00:00:00,
19767,108,51,1684169484,,0,,2023-05-15 16:51:24,1970-01-01 00:00:00,
19768,107,26,1684169486,,0,,2023-05-15 16:51:26,1970-01-01 00:00:00,
19769,103,22,1684169487,,0,,2023-05-15 16:51:27,1970-01-01 00:00:00,
19770,104,54,1684169487,,0,,2023-05-15 16:51:27,1970-01-01 00:00:00,
19781,104,36,1684169526,,0,,2023-05-15 16:52:06,1970-01-01 00:00:00,
19782,103,22,1684169527,,0,,2023-05-15 16:52:07,1970-01-01 00:00:00,
19783,104,54,1684169528,,0,,2023-05-15 16:52:08,1970-01-01 00:00:00,
19787,108,51,1684169537,,0,,2023-05-15 16:52:17,1970-01-01 00:00:00,
19788,107,26,1684169542,,1684169559,1.000.000,2023-05-15 16:52:22,2023-05-15 16:52:39,10.0
19789,103,37,1684169547,,0,,2023-05-15 16:52:27,1970-01-01 00:00:00,
19795,108,51,1684169571,,1684169599,500.000,2023-05-15 16:52:51,2023-05-15 16:53:19,5.0
19797,104,36,1684169580,,0,,2023-05-15 16:53:00,1970-01-01 00:00:00,
19799,104,54,1684169584,,0,,2023-05-15 16:53:04,1970-01-01 00:00:00,
19810,108,51,1684169630,,0,,2023-05-15 16:53:50,1970-01-01 00:00:00,
19813,104,36,1684169637,,1684169641,1.000.000,2023-05-15 16:53:57,2023-05-15 16:54:01,10.0
19814,104,54,1684169643,,0,,2023-05-15 16:54:03,1970-01-01 00:00:00,
19816,108,51,1684169653,,1684169656,1.000.000,2023-05-15 16:54:13,2023-05-15 16:54:16,10.0
19819,104,54,1684169657,,1684169665,1.000.000,2023-05-15 16:54:17,2023-05-15 16:54:25,10.0
19820,103,22,1684169661,,0,,2023-05-15 16:54:21,1970-01-01 00:00:00,
19822,103,22,1684169676,,1684169695,1.000.000,2023-05-15 16:54:36,2023-05-15 16:54:55,10.0
19847,105,36,1684169865,,0,,2023-05-15 16:57:45,1970-01-01 00:00:00,
19853,105,36,1684169903,,1684169906,1.000.000,2023-05-15 16:58:23,2023-05-15 16:58:26,10.0
19860,103,36,1684169970,,1684169972,0,2023-05-15 16:59:30,2023-05-15 16:59:32,0.0
19865,103,36,1684169986,,1684169989,1.000.000,2023-05-15 16:59:46,2023-05-15 16:59:49,10.0
19889,103,28,1684170167,,0,,2023-05-15 17:02:47,1970-01-01 00:00:00,
19892,103,27,1684170191,,0,,2023-05-15 17:03:11,1970-01-01 00:00:00,
19898,103,27,1684170222,,0,,2023-05-15 17:03:42,1970-01-01 00:00:00,
19903,106,36,1684170289,,0,,2023-05-15 17:04:49,1970-01-01 00:00:00,
19904,106,36,1684170300,,0,,2023-05-15 17:05:00,1970-01-01 00:00:00,
19906,103,27,1684170314,,0,,2023-05-15 17:05:14,1970-01-01 00:00:00,
19907,103,28,1684170318,,0,,2023-05-15 17:05:18,1970-01-01 00:00:00,
19910,103,28,1684170351,,0,,2023-05-15 17:05:51,1970-01-01 00:00:00,
19911,103,52,1684170376,,0,,2023-05-15 17:06:16,1970-01-01 00:00:00,
19913,103,52,1684170399,,1684637499,0,2023-05-15 17:06:39,2023-05-21 02:51:39,0.0
19919,103,21,1684170454,,0,,2023-05-15 17:07:34,1970-01-01 00:00:00,
19920,106,36,1684170459,,0,,2023-05-15 17:07:39,1970-01-01 00:00:00,
19922,103,28,1684170478,,0,,2023-05-15 17:07:58,1970-01-01 00:00:00,
19924,106,36,1684170493,,0,,2023-05-15 17:08:13,1970-01-01 00:00:00,
19927,103,28,1684170507,,0,,2023-05-15 17:08:27,1970-01-01 00:00:00,
19934,103,28,1684170566,,0,,2023-05-15 17:09:26,1970-01-01 00:00:00,
19937,103,27,1684170586,,0,,2023-05-15 17:09:46,1970-01-01 00:00:00,
19939,106,36,1684170596,,0,,2023-05-15 17:09:56,1970-01-01 00:00:00,
19940,103,28,1684170604,,0,,2023-05-15 17:10:04,1970-01-01 00:00:00,
19944,103,28,1684170662,,0,,2023-05-15 17:11:02,1970-01-01 00:00:00,
19950,103,28,1684170712,,0,,2023-05-15 17:11:52,1970-01-01 00:00:00,
19953,103,21,1684170725,,0,,2023-05-15 17:12:05,1970-01-01 00:00:00,
19958,103,28,1684170749,,0,,2023-05-15 17:12:29,1970-01-01 00:00:00,
19961,103,27,1684170768,,0,,2023-05-15 17:12:48,1970-01-01 00:00:00,
19963,103,27,1684170780,,1684170791,0,2023-05-15 17:13:00,2023-05-15 17:13:11,0.0
19964,103,21,1684170783,,1684170786,0,2023-05-15 17:13:03,2023-05-15 17:13:06,0.0
19966,103,21,1684170805,,1684170809,1.000.000,2023-05-15 17:13:25,2023-05-15 17:13:29,10.0
19967,106,36,1684170806,,0,,2023-05-15 17:13:26,1970-01-01 00:00:00,
19968,103,28,1684170815,,0,,2023-05-15 17:13:35,1970-01-01 00:00:00,
19971,106,36,1684170889,,1684170903,0,2023-05-15 17:14:49,2023-05-15 17:15:03,0.0
19973,104,21,1684170917,,0,,2023-05-15 17:15:17,1970-01-01 00:00:00,
19974,103,28,1684170929,,1684170933,0,2023-05-15 17:15:29,2023-05-15 17:15:33,0.0
19976,106,36,1684170975,,1684171024,1.000.000,2023-05-15 17:16:15,2023-05-15 17:17:04,10.0
19977,104,21,1684170994,,0,,2023-05-15 17:16:34,1970-01-01 00:00:00,
19979,104,27,1684171096,,0,,2023-05-15 17:18:16,1970-01-01 00:00:00,
19980,103,29,1684171100,,0,,2023-05-15 17:18:20,1970-01-01 00:00:00,
19981,104,27,1684171112,,0,,2023-05-15 17:18:32,1970-01-01 00:00:00,
19982,104,27,1684171180,,0,,2023-05-15 17:19:40,1970-01-01 00:00:00,
19983,103,29,1684171183,,0,,2023-05-15 17:19:43,1970-01-01 00:00:00,
19984,103,28,1684171201,,0,,2023-05-15 17:20:01,1970-01-01 00:00:00,
19985,103,29,1684171222,,0,,2023-05-15 17:20:22,1970-01-01 00:00:00,
19986,104,27,1684171223,,1684171246,0,2023-05-15 17:20:23,2023-05-15 17:20:46,0.0
19987,104,21,1684171274,,0,,2023-05-15 17:21:14,1970-01-01 00:00:00,
19988,103,29,1684171290,,0,,2023-05-15 17:21:30,1970-01-01 00:00:00,
19989,104,21,1684171302,,0,,2023-05-15 17:21:42,1970-01-01 00:00:00,
19991,103,29,1684171336,,0,,2023-05-15 17:22:16,1970-01-01 00:00:00,
19992,104,21,1684171342,,1684171346,1.000.000,2023-05-15 17:22:22,2023-05-15 17:22:26,10.0
19993,104,27,1684171344,,0,,2023-05-15 17:22:24,1970-01-01 00:00:00,
19997,103,29,1684171378,,0,,2023-05-15 17:22:58,1970-01-01 00:00:00,
19999,103,28,1684171389,,0,,2023-05-15 17:23:09,1970-01-01 00:00:00,
20001,103,29,1684171404,,0,,2023-05-15 17:23:24,1970-01-01 00:00:00,
20002,104,27,1684171420,,0,,2023-05-15 17:23:40,1970-01-01 00:00:00,
20003,103,28,1684171436,,0,,2023-05-15 17:23:56,1970-01-01 00:00:00,
20004,104,27,1684171445,,0,,2023-05-15 17:24:05,1970-01-01 00:00:00,
20005,103,28,1684171456,,0,,2023-05-15 17:24:16,1970-01-01 00:00:00,
20006,107,36,1684171467,,0,,2023-05-15 17:24:27,1970-01-01 00:00:00,
20007,103,29,1684171474,,0,,2023-05-15 17:24:34,1970-01-01 00:00:00,
20008,107,36,1684171477,,0,,2023-05-15 17:24:37,1970-01-01 00:00:00,
20009,103,29,1684171482,,0,,2023-05-15 17:24:42,1970-01-01 00:00:00,
20011,104,27,1684171498,,1684171520,1.000.000,2023-05-15 17:24:58,2023-05-15 17:25:20,10.0
20013,105,21,1684171519,,0,,2023-05-15 17:25:19,1970-01-01 00:00:00,
20014,103,28,1684171545,,0,,2023-05-15 17:25:45,1970-01-01 00:00:00,
20015,105,21,1684171546,,0,,2023-05-15 17:25:46,1970-01-01 00:00:00,
20017,105,21,1684171582,,1684171591,1.000.000,2023-05-15 17:26:22,2023-05-15 17:26:31,10.0
20018,103,29,1684171603,,0,,2023-05-15 17:26:43,1970-01-01 00:00:00,
20019,103,27,1684171627,,0,,2023-05-15 17:27:07,1970-01-01 00:00:00,
20020,103,27,1684171637,,1684171654,1.000.000,2023-05-15 17:27:17,2023-05-15 17:27:34,10.0
20021,106,21,1684171644,,0,,2023-05-15 17:27:24,1970-01-01 00:00:00,
20023,106,21,1684171709,,0,,2023-05-15 17:28:29,1970-01-01 00:00:00,
20026,106,21,1684171757,,0,,2023-05-15 17:29:17,1970-01-01 00:00:00,
20027,106,21,1684171783,,1684171787,1.000.000,2023-05-15 17:29:43,2023-05-15 17:29:47,10.0
20030,107,21,1684171870,,0,,2023-05-15 17:31:10,1970-01-01 00:00:00,
20031,107,36,1684171878,,0,,2023-05-15 17:31:18,1970-01-01 00:00:00,
20032,103,28,1684171901,,0,,2023-05-15 17:31:41,1970-01-01 00:00:00,
20036,103,28,1684171975,,0,,2023-05-15 17:32:55,1970-01-01 00:00:00,
20038,103,46,1684171981,,1684171998,0,2023-05-15 17:33:01,2023-05-15 17:33:18,0.0
20040,103,28,1684172016,,0,,2023-05-15 17:33:36,1970-01-01 00:00:00,
20042,105,27,1684172033,,0,,2023-05-15 17:33:53,1970-01-01 00:00:00,
20044,107,21,1684172039,,0,,2023-05-15 17:33:59,1970-01-01 00:00:00,
20045,103,46,1684172057,,1684172070,0,2023-05-15 17:34:17,2023-05-15 17:34:30,0.0
20047,107,21,1684172086,,0,,2023-05-15 17:34:46,1970-01-01 00:00:00,
20048,103,46,1684172111,,0,,2023-05-15 17:35:11,1970-01-01 00:00:00,
20051,105,27,1684172153,,0,,2023-05-15 17:35:53,1970-01-01 00:00:00,
20053,105,27,1684172196,,1684172207,0,2023-05-15 17:36:36,2023-05-15 17:36:47,0.0
20055,105,27,1684172233,,1684172236,1.000.000,2023-05-15 17:37:13,2023-05-15 17:37:16,10.0
20058,107,21,1684172365,,1684172369,1.000.000,2023-05-15 17:39:25,2023-05-15 17:39:29,10.0
20059,103,46,1684172407,,0,,2023-05-15 17:40:07,1970-01-01 00:00:00,
20061,103,46,1684172422,,1684172438,1.000.000,2023-05-15 17:40:22,2023-05-15 17:40:38,10.0
20062,110,36,1684172442,,1684172455,0,2023-05-15 17:40:42,2023-05-15 17:40:55,0.0
20063,103,28,1684172443,,0,,2023-05-15 17:40:43,1970-01-01 00:00:00,
20064,103,28,1684172454,,0,,2023-05-15 17:40:54,1970-01-01 00:00:00,
20065,103,28,1684172505,,0,,2023-05-15 17:41:45,1970-01-01 00:00:00,
20066,108,21,1684172518,,0,,2023-05-15 17:41:58,1970-01-01 00:00:00,
20067,110,36,1684172523,,1684502398,0,2023-05-15 17:42:03,2023-05-19 13:19:58,0.0
20068,106,27,1684172525,,0,,2023-05-15 17:42:05,1970-01-01 00:00:00,
20069,108,21,1684172530,,0,,2023-05-15 17:42:10,1970-01-01 00:00:00,
20070,106,27,1684172534,,1684172544,0,2023-05-15 17:42:14,2023-05-15 17:42:24,0.0
20075,108,21,1684173131,,0,,2023-05-15 17:52:11,1970-01-01 00:00:00,
20076,108,21,1684173249,,0,,2023-05-15 17:54:09,1970-01-01 00:00:00,
20078,108,21,1684173301,,0,,2023-05-15 17:55:01,1970-01-01 00:00:00,
20079,108,21,1684173408,,1684173425,0,2023-05-15 17:56:48,2023-05-15 17:57:05,0.0
20081,103,41,1684195337,,0,,2023-05-16 00:02:17,1970-01-01 00:00:00,
20082,103,41,1684195495,,0,,2023-05-16 00:04:55,1970-01-01 00:00:00,
20083,103,41,1684195521,,0,,2023-05-16 00:05:21,1970-01-01 00:00:00,
20084,103,41,1684195588,,0,,2023-05-16 00:06:28,1970-01-01 00:00:00,
20086,103,41,1684195631,,1684195647,0,2023-05-16 00:07:11,2023-05-16 00:07:27,0.0
20087,103,41,1684195693,,1684195708,0,2023-05-16 00:08:13,2023-05-16 00:08:28,0.0
20088,103,41,1684195732,,1684195738,1.000.000,2023-05-16 00:08:52,2023-05-16 00:08:58,10.0
20090,104,41,1684196054,,0,,2023-05-16 00:14:14,1970-01-01 00:00:00,
20091,104,41,1684196074,,1684196100,0,2023-05-16 00:14:34,2023-05-16 00:15:00,0.0
20094,104,41,1684196335,,0,,2023-05-16 00:18:55,1970-01-01 00:00:00,
20097,104,41,1684196386,,1684196390,0,2023-05-16 00:19:46,2023-05-16 00:19:50,0.0
20098,104,41,1684196420,,1684196433,0,2023-05-16 00:20:20,2023-05-16 00:20:33,0.0
20099,104,41,1684196471,,1684196475,0,2023-05-16 00:21:11,2023-05-16 00:21:15,0.0
20101,104,41,1684196551,,1684196555,1.000.000,2023-05-16 00:22:31,2023-05-16 00:22:35,10.0
20107,103,28,1684281984,,0,,2023-05-17 00:06:24,1970-01-01 00:00:00,
20108,103,28,1684282038,,0,,2023-05-17 00:07:18,1970-01-01 00:00:00,
20115,103,28,1684282352,,0,,2023-05-17 00:12:32,1970-01-01 00:00:00,
20116,103,28,1684282360,,0,,2023-05-17 00:12:40,1970-01-01 00:00:00,
20117,103,28,1684282412,,0,,2023-05-17 00:13:32,1970-01-01 00:00:00,
20119,103,28,1684282445,,0,,2023-05-17 00:14:05,1970-01-01 00:00:00,
20120,103,28,1684282560,,0,,2023-05-17 00:16:00,1970-01-01 00:00:00,
20121,103,28,1684282650,,0,,2023-05-17 00:17:30,1970-01-01 00:00:00,
20123,103,28,1684282706,,0,,2023-05-17 00:18:26,1970-01-01 00:00:00,
20124,103,28,1684282760,,0,,2023-05-17 00:19:20,1970-01-01 00:00:00,
20125,103,28,1684282773,,1684282828,0,2023-05-17 00:19:33,2023-05-17 00:20:28,0.0
20126,103,28,1684282856,,1684282871,1.000.000,2023-05-17 00:20:56,2023-05-17 00:21:11,10.0
20131,104,34,1684283026,,0,,2023-05-17 00:23:46,1970-01-01 00:00:00,
20135,104,34,1684283082,,0,,2023-05-17 00:24:42,1970-01-01 00:00:00,
20136,104,34,1684283090,,1684283101,0,2023-05-17 00:24:50,2023-05-17 00:25:01,0.0
20141,105,34,1684283489,,0,,2023-05-17 00:31:29,1970-01-01 00:00:00,
20142,105,34,1684283511,,0,,2023-05-17 00:31:51,1970-01-01 00:00:00,
20143,105,34,1684283556,,0,,2023-05-17 00:32:36,1970-01-01 00:00:00,
20144,105,34,1684283579,,1684283590,1.000.000,2023-05-17 00:32:59,2023-05-17 00:33:10,10.0
20146,104,28,1684283869,,0,,2023-05-17 00:37:49,1970-01-01 00:00:00,
20147,106,34,1684283875,,0,,2023-05-17 00:37:55,1970-01-01 00:00:00,
20149,104,28,1684283907,,0,,2023-05-17 00:38:27,1970-01-01 00:00:00,
20150,104,28,1684284621,,0,,2023-05-17 00:50:21,1970-01-01 00:00:00,
20152,104,28,1684284650,,0,,2023-05-17 00:50:50,1970-01-01 00:00:00,
20153,104,28,1684284727,,0,,2023-05-17 00:52:07,1970-01-01 00:00:00,
20155,104,28,1684284747,,0,,2023-05-17 00:52:27,1970-01-01 00:00:00,
20156,104,28,1684285462,,0,,2023-05-17 01:04:22,1970-01-01 00:00:00,
20157,104,28,1684285500,,0,,2023-05-17 01:05:00,1970-01-01 00:00:00,
20158,104,28,1684285532,,0,,2023-05-17 01:05:32,1970-01-01 00:00:00,
20159,104,28,1684285610,,0,,2023-05-17 01:06:50,1970-01-01 00:00:00,
20160,104,28,1684285654,,0,,2023-05-17 01:07:34,1970-01-01 00:00:00,
20161,104,28,1684285735,,0,,2023-05-17 01:08:55,1970-01-01 00:00:00,
20162,104,28,1684285764,,0,,2023-05-17 01:09:24,1970-01-01 00:00:00,
20163,104,28,1684285828,,0,,2023-05-17 01:10:28,1970-01-01 00:00:00,
20166,104,28,1684285883,,0,,2023-05-17 01:11:23,1970-01-01 00:00:00,
20167,104,28,1684285944,,0,,2023-05-17 01:12:24,1970-01-01 00:00:00,
20168,104,28,1684286179,,0,,2023-05-17 01:16:19,1970-01-01 00:00:00,
20169,104,28,1684286206,,0,,2023-05-17 01:16:46,1970-01-01 00:00:00,
