ID,VPL,USERID,DATESSUBMITTED,COMMENTS,GRADER,DATEGRADED,GRADE,MAILED,HIGHLIGHT,NEVALUATIONS,GROUPID,DATA_ENVIO,DATA_AVALIACAO,NOTA
8265,79,51,1682344386,,0,0,,0,0,0,0,2023-04-24 13:53:06,1970-01-01 00:00:00,
8266,79,51,1682344398,,0,1682344419,667.000,0,0,1,0,2023-04-24 13:53:18,2023-04-24 13:53:39,6.67
8268,79,51,1682344533,,0,1682344542,1.000.000,0,0,2,0,2023-04-24 13:55:33,2023-04-24 13:55:42,10.0
8269,80,51,1682344740,,0,1682344750,0,0,0,1,0,2023-04-24 13:59:00,2023-04-24 13:59:10,0.0
8270,80,51,1682344783,,0,1682344786,1.000.000,0,0,2,0,2023-04-24 13:59:43,2023-04-24 13:59:46,10.0
8272,81,51,1682344978,,0,1682344984,1.000.000,0,0,1,0,2023-04-24 14:02:58,2023-04-24 14:03:04,10.0
8274,79,41,1682345037,,0,0,,0,0,0,0,2023-04-24 14:03:57,1970-01-01 00:00:00,
8275,79,41,1682345056,,0,0,,0,0,0,0,2023-04-24 14:04:16,1970-01-01 00:00:00,
8276,79,41,1682345166,,0,0,,0,0,0,0,2023-04-24 14:06:06,1970-01-01 00:00:00,
8277,79,41,1682345217,,0,0,,0,0,0,0,2023-04-24 14:06:57,1970-01-01 00:00:00,
8278,82,51,1682345235,,0,1682345239,1.000.000,0,0,1,0,2023-04-24 14:07:15,2023-04-24 14:07:19,10.0
8279,79,41,1682345259,,0,1682345290,1.000.000,0,0,1,0,2023-04-24 14:07:39,2023-04-24 14:08:10,10.0
8280,83,51,1682345367,,0,0,,0,0,0,0,2023-04-24 14:09:27,1970-01-01 00:00:00,
8281,83,51,1682345415,,0,1682345421,1.000.000,0,0,1,0,2023-04-24 14:10:15,2023-04-24 14:10:21,10.0
8282,84,51,1682345712,,0,0,,0,0,0,0,2023-04-24 14:15:12,1970-01-01 00:00:00,
8284,84,51,1682345773,,0,0,,0,0,0,0,2023-04-24 14:16:13,1970-01-01 00:00:00,
