NOME_ALUNO,Questão 1,Questão 10,Questão 11,Questão 12,Questão 14,Questão 15,Questão 16,Questão 17,Questão 18,Questão 2,Questão 3,Questão 4,Questão 5,Questão 6,Questão 7,Questão 8,Questão 9,Media_Notas,ENTREGAS_NO_PRAZO,TOTAL_ENTREGAS,TAXA_ENGAJAMENTO
aluno 01,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.411764705882353,16,16,94.11764705882352
aluno 02,10.0,10.0,10.0,0.0,8.0,10.0,0.0,8.0,10.0,10.0,10.0,10.0,10.0,6.67,10.0,10.0,6.67,8.196470588235295,17,17,100.0
aluno 03,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17,17,100.0
aluno 04,0.0,10.0,10.0,10.0,10.0,10.0,7.14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.243529411764705,16,16,94.11764705882352
aluno 05,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17,17,100.0
aluno 06,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16,17,94.11764705882352
aluno 07,6.67,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,9.362941176470589,17,17,100.0
aluno 08,3.33,5.0,10.0,10.0,2.0,10.0,1.43,8.0,7.5,0.0,0.0,5.0,10.0,6.67,6.67,10.0,6.67,6.015882352941176,12,17,70.58823529411765
aluno 09,10.0,10.0,10.0,10.0,10.0,8.75,8.57,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.67,9.528823529411763,13,17,76.47058823529412
aluno 10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.411764705882353,16,16,94.11764705882352
