USERID,VPL,ID_vpl,DATESSUBMITTED,COMMENTS,DATEGRADED,GRADE,DATA_ENVIO,DATA_AVALIACAO,NOTA,CONTAGEM,NOME_ALUNO,ID_alunos,NAME
18,98,18586,1683590545,,1685582796,900.000,2023-05-09 00:02:25,2023-06-01 01:26:36,9.0,73,aluno 30,98,Meu Primeiro Projeto
20,98,26650,1685542023,"Enviado por Administrador Usuário
",1685557582,1.000.000,2023-05-31 14:07:03,2023-05-31 18:26:22,10.0,41,aluno 06,98,Meu Primeiro Projeto
21,98,26692,1685561421,"Enviado por Administrador Usuário
",1685561629,1.000.000,2023-05-31 19:30:21,2023-05-31 19:33:49,10.0,117,aluno 29,98,Meu Primeiro Projeto
22,98,26690,1685558294,"Enviado por Administrador Usuário
",1685558354,1.000.000,2023-05-31 18:38:14,2023-05-31 18:39:14,10.0,19,aluno 21,98,Meu Primeiro Projeto
23,98,18604,1683590727,,1685579475,1.000.000,2023-05-09 00:05:27,2023-06-01 00:31:15,10.0,87,aluno 31,98,Meu Primeiro Projeto
25,98,26468,1685468475,"Enviado por Administrador Usuário
",1685576675,1.000.000,2023-05-30 17:41:15,2023-05-31 23:44:35,10.0,80,aluno 04,98,Meu Primeiro Projeto
26,98,18603,1683590716,,1685576703,1.000.000,2023-05-09 00:05:16,2023-05-31 23:45:03,10.0,39,aluno 05,98,Meu Primeiro Projeto
27,98,26662,1685544273,"Enviado por Administrador Usuário
",1685557640,900.000,2023-05-31 14:44:33,2023-05-31 18:27:20,9.0,44,aluno 27,98,Meu Primeiro Projeto
28,98,18903,1683594285,,1685576910,1.000.000,2023-05-09 01:04:45,2023-05-31 23:48:30,10.0,93,aluno 38,98,Meu Primeiro Projeto
29,98,19251,1683599763,,1685582071,900.000,2023-05-09 02:36:03,2023-06-01 01:14:31,9.0,59,aluno 32,98,Meu Primeiro Projeto
30,98,18461,1683589189,,1685578713,1.000.000,2023-05-08 23:39:49,2023-06-01 00:18:33,10.0,38,aluno 20,98,Meu Primeiro Projeto
31,98,26693,1685561939,"Enviado por Administrador Usuário
",1685562317,500.000,2023-05-31 19:38:59,2023-05-31 19:45:17,5.0,36,aluno 33,98,Meu Primeiro Projeto
34,98,19048,1683596514,,1685582576,1.000.000,2023-05-09 01:41:54,2023-06-01 01:22:56,10.0,85,aluno 13,98,Meu Primeiro Projeto
35,98,18997,1683595528,,1685581400,800.000,2023-05-09 01:25:28,2023-06-01 01:03:20,8.0,40,aluno 11,98,Meu Primeiro Projeto
36,98,18363,1683586589,,1685578987,1.000.000,2023-05-08 22:56:29,2023-06-01 00:23:07,10.0,85,aluno 12,98,Meu Primeiro Projeto
37,98,18281,1683584808,,1685561030,1.000.000,2023-05-08 22:26:48,2023-05-31 19:23:50,10.0,103,aluno 34,98,Meu Primeiro Projeto
38,98,19035,1683596158,,1685557747,900.000,2023-05-09 01:35:58,2023-05-31 18:29:07,9.0,43,aluno 18,98,Meu Primeiro Projeto
39,98,26689,1685556557,"Enviado por Administrador Usuário
",1685559135,1.000.000,2023-05-31 18:09:17,2023-05-31 18:52:15,10.0,113,aluno 17,98,Meu Primeiro Projeto
