USERID,VPL,CONTAGEM
18,40,7
18,41,3
18,42,2
18,43,1
18,44,2
18,45,4
18,46,13
18,47,1
18,48,2
18,49,3
18,50,1
18,51,5
18,53,3
18,54,2
18,55,2
18,56,1
18,57,2
18,58,2
18,59,1
18,60,3
18,61,1
18,62,4
18,63,4
18,64,1
18,65,2
18,66,1
18,67,2
18,68,36
20,40,10
20,41,1
20,42,11
20,43,16
20,44,4
20,45,5
20,46,3
20,47,3
20,48,2
20,49,4
20,50,2
20,51,1
20,53,1
20,54,2
20,55,2
20,56,5
20,57,2
20,58,2
20,59,4
20,60,1
20,61,2
20,62,3
20,63,7
20,64,9
20,65,2
20,66,4
20,67,6
20,68,13
21,40,1
21,41,3
21,42,6
21,43,7
21,44,6
21,45,10
21,46,2
21,47,2
21,48,2
21,49,4
21,50,4
21,51,2
21,53,3
21,54,3
21,55,1
21,56,3
21,57,2
21,58,5
21,59,6
21,60,3
21,61,4
21,62,5
21,63,5
21,64,3
21,65,6
21,66,12
21,67,12
21,68,33
22,40,7
22,41,9
22,42,1
22,43,2
22,44,2
22,45,2
22,46,4
22,47,1
22,48,3
22,49,2
22,50,1
22,51,2
22,53,1
22,54,1
22,55,4
22,56,1
22,57,2
22,58,2
22,59,1
22,60,1
22,61,2
22,62,1
22,63,3
22,64,1
22,65,4
22,66,1
22,67,1
22,68,7
23,40,5
23,41,4
23,42,3
23,43,11
23,44,6
23,45,12
23,46,3
23,47,2
23,48,2
23,49,2
23,50,2
23,51,2
23,53,2
23,54,4
23,55,9
23,56,8
23,57,1
23,58,2
23,59,9
23,60,2
23,61,6
23,62,2
23,63,12
23,64,3
23,65,6
23,66,1
23,67,4
23,68,60
25,40,2
25,41,12
25,42,6
25,43,65
25,44,25
25,45,3
25,46,7
25,47,1
25,48,2
25,49,1
25,50,1
25,51,1
25,53,1
25,54,2
25,55,22
25,56,11
25,57,4
25,58,14
25,59,20
25,60,2
25,61,16
25,62,3
25,63,9
25,64,3
25,65,18
25,66,13
25,67,6
25,68,4
26,40,6
26,41,4
26,42,2
26,43,8
26,44,2
26,45,1
26,46,3
26,47,1
26,48,1
26,49,2
26,50,1
26,51,2
26,53,1
26,54,1
26,55,1
26,56,8
26,57,2
26,58,1
26,59,4
26,60,2
26,61,3
26,62,4
26,63,1
26,64,1
26,65,3
26,66,2
26,67,1
26,68,9
27,40,7
27,41,4
27,42,7
27,43,4
27,44,6
27,45,11
27,46,4
27,47,5
27,48,4
27,49,2
27,50,4
27,51,5
27,53,3
27,54,2
27,55,2
27,56,1
27,57,4
27,58,6
27,59,1
27,60,4
27,61,2
27,62,1
27,63,1
27,64,1
27,65,3
27,66,2
27,67,2
27,68,1
28,40,5
28,41,4
28,42,24
28,43,9
28,44,43
28,45,9
28,46,25
28,47,3
28,48,2
28,49,2
28,50,1
28,51,4
28,53,2
28,54,3
28,55,14
28,56,2
28,57,5
28,58,33
28,59,26
28,60,3
28,61,2
28,62,5
28,63,5
28,64,2
28,65,23
28,66,9
28,67,59
28,68,47
29,40,3
29,41,9
29,42,7
29,43,15
29,44,19
29,45,3
29,46,2
29,47,6
29,48,2
29,49,1
29,50,2
29,51,2
29,53,1
29,54,1
29,55,2
29,56,3
29,57,2
29,58,13
29,59,3
29,60,2
29,61,1
29,62,3
29,63,11
29,64,1
29,65,5
29,66,1
29,67,2
29,68,10
30,40,4
30,41,2
30,42,7
30,43,6
30,44,2
30,45,1
30,46,1
30,47,1
30,48,1
30,49,2
30,50,2
30,51,2
30,53,1
30,54,2
30,55,2
30,56,3
30,57,2
30,58,2
30,59,1
30,60,2
30,61,2
30,62,6
30,63,4
30,64,2
30,65,3
30,66,3
30,67,3
30,68,25
31,40,2
31,41,10
31,42,2
31,43,11
31,44,4
31,45,4
31,46,15
31,47,4
31,48,2
31,49,1
31,50,1
31,51,1
31,53,1
31,54,2
31,55,3
31,56,5
31,57,8
31,58,4
31,59,1
31,60,1
31,61,2
31,62,2
31,63,4
31,64,2
31,65,20
31,66,12
31,67,7
34,40,21
34,41,20
34,42,52
34,43,21
34,44,11
34,45,12
34,46,12
34,47,3
34,48,2
34,49,2
34,50,1
34,51,6
34,53,5
34,54,1
34,55,2
34,56,7
34,57,1
34,58,3
34,59,8
34,60,2
34,61,7
34,62,4
34,63,10
34,64,1
34,65,3
34,66,1
34,67,3
34,68,31
35,40,2
35,41,2
35,42,1
35,43,1
35,44,1
