USERID,VPL,TEMPO_TOTAL
18,75,3
18,76,3
18,77,8
18,79,9
18,80,4
18,81,2
18,82,2
18,83,2
18,84,2
18,85,12
18,86,4
18,87,9
18,88,1
18,90,4
18,91,15
18,92,6
18,94,5
18,95,1
18,96,7
18,97,10
20,75,3
20,76,6
20,77,19
20,79,16
20,80,7
20,81,9
20,82,1
20,83,2
20,84,11
20,85,19
20,86,6
20,87,8
20,88,3
20,90,8
20,91,20
20,92,9
20,94,35
20,95,1
21,75,5
21,76,18
21,77,44
21,79,9
21,80,4
21,81,2
21,82,3
21,83,2
21,84,7
21,85,9
21,86,18
21,87,32
21,88,4
21,90,16
21,91,100
21,92,13
21,94,22
21,95,4
21,96,19
21,97,33
22,75,2
22,76,9
22,77,7
22,79,1
22,80,1
22,81,1
22,82,1
22,83,4
22,84,1
22,85,2
22,86,4
22,87,7
22,88,1
22,90,5
22,91,5
22,92,1
22,94,3
22,95,2
22,96,4
22,97,4
23,75,3
23,76,12
23,77,12
23,79,7
23,80,15
23,81,1
23,82,2
23,83,2
23,84,8
23,85,7
23,86,7
23,87,10
23,88,2
23,90,6
23,91,36
23,92,19
23,94,10
23,95,5
23,96,18
23,97,14
24,79,6
24,80,4
24,81,2
24,82,3
24,83,2
24,84,4
24,85,2
24,86,5
24,87,9
25,75,3
25,76,10
25,77,8
25,80,23
25,81,4
25,82,14
25,83,4
25,84,9
25,85,22
25,86,4
25,87,7
25,88,2
25,90,4
25,91,10
25,92,3
25,94,4
25,95,2
25,97,4
26,75,2
26,76,12
26,77,4
26,79,1
26,80,4
26,81,2
26,82,3
26,83,1
26,84,2
26,85,2
26,86,6
26,87,8
26,88,3
26,90,30
26,91,5
26,92,3
26,94,9
26,95,2
26,96,5
26,97,3
27,75,3
27,76,10
27,77,12
27,79,10
27,80,13
27,81,6
27,82,3
27,83,1
27,84,6
27,85,20
27,86,5
27,87,13
27,88,3
27,90,4
27,91,13
27,92,3
27,94,17
27,95,4
27,96,7
27,97,6
28,75,5
28,76,15
28,77,9
28,79,7
28,80,7
28,81,4
28,82,5
28,83,5
28,84,1
28,85,6
28,86,10
28,87,8
28,88,24
28,91,13
28,92,57
28,94,6
28,95,5
28,96,16
28,97,8
29,79,26
29,80,2
29,81,3
29,82,3
29,83,5
29,84,19
29,96,4
30,75,10
30,76,4
30,77,22
30,79,16
30,80,11
30,81,2
30,82,2
30,83,2
30,84,3
30,85,6
30,86,5
30,87,13
30,88,8
30,90,2
30,91,6
30,92,10
30,94,5
30,95,3
31,79,11
31,80,23
31,81,11
31,82,16
31,83,12
31,84,16
31,85,10
31,86,15
31,87,11
31,88,3
31,90,8
31,91,13
31,92,8
31,94,7
31,95,3
34,75,9
34,76,4
34,77,17
34,79,5
34,80,5
34,81,4
34,82,2
34,83,2
34,84,3
34,85,16
34,86,8
34,87,31
34,88,4
34,90,22
34,91,31
34,92,4
34,94,54
34,95,1
34,96,18
34,97,55
35,75,2
35,76,6
35,77,7
35,79,5
35,80,7
35,81,5
35,82,2
35,83,2
35,84,3
35,85,10
35,86,8
35,87,12
35,88,4
35,90,14
35,91,13
35,92,11
35,94,8
35,95,3
35,96,11
35,97,10
36,75,4
36,77,8
36,79,19
36,80,9
36,81,3
36,82,4
36,83,3
36,84,14
36,85,7
36,86,5
36,87,24
36,88,6
36,90,4
36,91,27
36,92,7
36,94,16
36,95,3
36,97,11
37,75,9
37,76,18
37,77,29
37,79,3
37,80,6
37,81,5
37,82,6
37,83,4
37,84,6
37,85,76
37,86,35
37,87,38
37,88,8
37,90,15
37,91,8
37,92,4
37,94,37
37,95,5
37,96,16
37,97,10
38,75,4
38,76,12
38,77,28
38,79,18
38,80,14
38,81,5
38,82,2
38,83,2
38,84,17
38,85,17
38,86,9
38,87,23
38,88,12
38,90,29
38,91,6
38,92,10
38,94,39
38,95,6
38,96,4
38,97,23
39,75,3
39,76,14
39,77,17
39,79,2
39,80,6
39,81,5
39,82,1
39,83,2
39,84,5
39,85,11
39,86,9
39,87,19
39,88,2
39,90,3
39,91,7
39,92,6
39,94,11
39,95,2
39,96,14
39,97,27
40,75,7
40,76,19
40,77,19
40,79,14
40,80,25
40,81,5
40,82,19
40,83,9
40,84,65
40,85,39
40,86,9
40,87,52
40,88,44
40,90,15
40,91,57
40,92,47
40,94,15
40,95,22
40,96,22
40,97,16
41,75,2
41,76,12
41,77,10
41,79,5
41,80,5
41,81,2
41,82,2
41,83,4
41,84,2
41,85,3
41,86,7
41,87,5
41,88,2
41,90,18
41,91,14
41,92,6
41,94,16
41,95,4
41,96,5
41,97,21
42,75,6
42,76,18
42,77,11
42,79,6
42,80,6
42,81,6
42,82,2
42,83,1
42,84,7
42,85,10
42,86,12
42,87,19
42,88,7
42,90,15
42,91,10
42,92,5
42,94,16
42,95,5
43,75,2
43,76,11
43,77,9
43,79,9
43,80,8
43,81,3
43,82,4
43,83,3
43,84,3
43,85,8
43,86,3
43,87,15
43,88,10
43,90,5
43,91,42
43,92,5
43,94,23
43,95,6
43,96,8
43,97,14
44,75,10
44,76,11
44,77,14
44,79,8
44,80,3
44,81,1
44,82,3
44,83,5
44,84,7
44,85,14
44,86,3
44,87,4
44,88,2
44,90,5
44,91,21
44,92,4
44,94,4
44,95,3
44,96,5
44,97,1
45,79,11
45,80,17
45,81,4
45,82,4
45,83,9
45,84,7
45,85,17
45,86,1
46,75,7
46,76,13
46,77,12
46,79,7
46,80,10
46,81,5
46,82,6
46,83,1
46,84,7
46,85,16
46,86,4
46,87,16
46,88,5
46,90,6
46,91,7
46,92,8
46,94,7
46,95,5
46,96,6
47,79,22
47,80,5
47,81,2
47,82,5
47,83,2
48,75,4
48,76,11
48,77,7
48,79,3
48,80,13
48,81,3
48,82,2
48,83,3
48,84,2
48,85,4
48,86,9
48,87,14
48,88,1
48,90,3
48,91,12
48,92,7
48,94,28
48,95,2
48,96,8
48,97,3
49,75,8
49,76,9
49,77,21
49,79,7
49,80,7
49,81,5
49,82,3
49,83,2
49,84,10
49,85,38
49,86,28
49,87,12
49,88,21
49,90,32
49,91,50
49,92,9
49,95,1
50,75,2
50,76,18
50,77,11
50,79,6
50,80,24
50,81,2
50,82,2
50,83,2
50,84,1
50,85,39
50,86,3
50,87,41
50,88,4
50,91,16
50,92,8
50,94,26
50,95,2
50,97,6
51,75,4
51,76,14
51,77,9
51,79,3
51,80,2
51,81,1
51,82,1
51,83,2
51,84,3
51,85,1
51,86,2
51,87,5
51,88,4
51,90,13
51,91,11
51,92,4
51,95,2
52,75,5
52,76,10
52,77,7
52,79,7
52,80,10
52,81,7
52,82,5
52,83,2
52,84,6
52,85,11
52,86,11
52,87,8
52,88,2
52,90,7
52,91,10
52,92,7
52,94,4
52,95,7
52,96,5
52,97,10
54,75,1
54,76,5
54,77,4
54,79,11
54,80,5
54,81,2
54,82,2
54,83,2
54,84,6
54,85,4
54,86,6
54,87,2
54,88,10
54,90,17
54,91,22
54,92,7
54,94,11
54,95,1
55,75,1
55,79,9
55,80,15
55,81,9
55,82,6
55,83,8
55,84,9
55,85,3
55,86,3
55,87,3
55,88,4
55,90,1
55,91,22
55,92,1
55,94,1
55,95,2
55,96,1
55,97,4
56,75,1
56,76,2
56,77,3
56,79,1
56,80,1
56,81,2
56,82,2
56,83,1
56,84,8
56,85,13
56,86,5
56,87,17
56,88,1
56,90,7
56,91,3
