USERID,VPL,DATA_ENVIO
18,75,2
18,76,3
18,77,3
18,79,2
18,80,1
18,81,1
18,82,1
18,83,1
18,84,1
18,85,1
18,86,1
18,87,4
18,88,1
18,90,3
18,91,8
18,92,1
18,94,2
18,95,1
18,96,1
18,97,1
20,75,2
20,76,3
20,77,6
20,79,13
20,80,5
20,81,4
20,82,1
20,83,1
20,84,8
20,85,10
20,86,5
20,87,1
20,88,2
20,90,2
20,91,7
20,92,3
20,94,4
20,95,1
21,75,1
21,76,3
21,77,2
21,79,4
21,80,1
21,81,1
21,82,1
21,83,1
21,84,1
21,85,2
21,86,3
21,87,1
21,88,1
21,90,4
21,91,5
21,92,3
21,94,2
21,95,2
21,96,2
21,97,2
22,75,1
22,76,2
22,77,3
22,79,1
22,80,1
22,81,1
22,82,1
22,83,3
22,84,1
22,85,2
22,86,3
22,87,6
22,88,1
22,90,2
22,91,2
22,92,1
22,94,3
22,95,2
22,96,1
22,97,1
23,75,1
23,76,2
23,77,3
23,79,4
23,80,6
23,81,1
23,82,1
23,83,1
23,84,3
23,85,3
23,86,1
23,87,2
23,88,1
23,90,1
23,91,9
23,92,3
23,94,3
23,95,5
23,96,1
23,97,1
24,79,3
24,80,2
24,81,1
24,82,1
24,83,1
24,84,3
24,85,1
24,86,1
24,87,2
25,75,2
25,76,2
25,77,4
25,80,3
25,81,1
25,82,1
25,83,3
25,84,2
25,85,3
25,86,1
25,87,1
25,88,2
25,90,1
25,91,1
25,92,2
25,94,2
25,95,1
26,75,2
26,76,3
26,77,2
26,79,1
26,80,1
26,81,1
26,82,3
26,83,1
26,84,2
26,85,1
26,86,3
26,87,4
26,88,2
26,90,13
26,91,4
26,92,1
26,94,4
26,95,2
26,96,2
26,97,1
27,75,2
27,76,3
27,77,7
27,79,7
27,80,8
27,81,4
27,82,2
27,83,1
27,84,4
27,85,7
27,86,3
27,87,10
27,88,3
27,90,2
27,91,6
27,92,2
27,94,8
27,95,3
27,97,2
28,75,3
28,76,1
28,77,1
28,79,2
28,80,4
28,81,1
28,82,1
28,83,2
28,84,1
28,85,1
28,86,2
28,87,1
28,88,5
28,91,1
28,92,2
28,94,1
28,95,1
29,79,3
29,80,1
29,81,1
29,82,1
29,83,2
29,84,2
30,75,5
30,76,3
30,77,5
30,79,1
30,80,5
30,81,1
30,82,1
30,83,1
30,84,1
30,85,1
30,86,1
30,87,5
30,88,2
30,90,1
30,91,3
30,92,2
30,94,3
30,95,2
31,79,3
31,81,1
31,82,1
31,83,3
31,84,2
31,85,1
31,86,1
31,87,2
31,88,1
31,90,1
31,91,1
31,92,2
31,95,2
34,75,2
34,76,2
34,77,3
34,79,1
34,80,3
34,81,3
34,82,1
34,83,2
34,84,1
34,85,2
34,86,1
34,87,11
34,88,2
34,90,3
34,91,2
34,92,1
34,94,1
34,95,1
34,96,2
34,97,1
35,75,1
35,76,3
35,77,4
35,79,4
35,80,4
35,81,2
35,82,1
35,83,2
35,84,1
35,85,1
35,86,2
35,87,3
35,88,4
35,90,2
35,91,6
35,92,1
35,94,2
35,95,3
35,96,1
35,97,2
36,75,4
36,77,4
36,79,3
36,80,2
36,81,1
36,82,1
36,83,1
36,84,1
36,85,2
36,86,2
36,87,7
36,88,3
36,90,2
36,91,8
36,92,1
36,95,3
37,75,6
37,76,7
37,77,5
37,79,2
37,80,2
37,81,3
37,82,1
37,83,2
37,84,1
37,85,7
37,86,6
37,87,11
37,88,4
37,90,1
37,91,2
37,92,2
37,94,8
37,95,2
37,96,1
37,97,1
38,75,1
38,76,4
38,77,5
38,79,2
38,80,2
38,81,1
38,82,1
38,83,1
38,84,4
38,85,1
38,86,4
38,87,5
38,88,1
38,90,2
38,91,1
38,92,4
38,95,2
39,75,2
39,76,5
39,77,3
39,79,1
39,80,1
39,81,2
39,82,1
39,83,1
39,84,2
39,85,3
39,86,5
39,87,3
39,88,1
39,90,2
39,91,3
39,92,2
39,94,2
39,95,1
39,96,1
39,97,4
40,75,2
40,76,4
40,77,3
40,79,2
40,80,3
40,81,1
40,82,1
40,83,1
40,84,8
40,85,8
40,86,1
40,87,16
40,88,3
40,90,1
40,91,6
40,92,4
40,94,4
40,95,9
40,96,2
40,97,1
41,75,2
41,76,3
41,77,5
41,79,1
41,80,4
41,81,2
41,82,1
41,83,1
41,84,1
41,85,1
41,86,4
41,87,3
41,88,1
41,90,2
41,91,8
41,92,3
41,94,2
41,95,2
41,96,1
41,97,1
42,75,3
42,76,3
42,77,4
42,79,3
42,80,3
42,81,3
42,82,1
42,83,1
42,84,2
42,85,3
42,86,3
42,87,11
42,88,3
42,90,3
42,91,3
42,92,1
42,94,3
42,95,3
43,75,2
43,76,3
43,77,2
43,79,1
43,80,2
43,81,1
43,82,1
43,83,1
43,84,1
43,85,1
43,86,1
43,87,8
43,88,2
43,90,3
43,91,6
43,92,2
43,94,8
43,95,4
43,96,1
43,97,3
44,75,4
44,76,2
44,77,1
44,79,1
44,80,2
44,81,1
44,82,1
44,83,1
44,84,1
44,85,5
44,86,1
44,87,3
44,88,1
44,90,4
44,91,7
44,92,1
44,94,1
44,95,2
44,96,1
45,79,9
45,80,6
45,81,2
45,82,3
45,83,2
45,84,4
45,85,5
46,75,3
46,76,8
46,77,7
46,79,5
46,80,3
46,81,1
46,82,1
46,83,1
46,84,5
46,85,6
46,86,1
46,87,7
46,88,2
46,90,1
46,91,2
46,92,1
46,94,3
46,95,3
46,96,1
47,79,8
47,80,1
47,81,1
47,82,2
47,83,1
48,75,3
48,76,2
48,77,3
48,79,1
48,80,11
48,81,2
48,82,2
48,83,2
48,84,1
48,85,2
48,86,3
48,87,3
48,88,1
48,90,2
48,91,3
48,92,4
48,94,3
48,95,1
48,96,1
48,97,2
49,75,4
49,76,3
49,77,12
49,79,3
49,80,5
49,81,1
49,82,1
49,83,1
49,84,2
49,85,5
49,86,9
49,87,8
49,88,10
49,90,4
49,91,4
49,92,2
49,95,1
50,75,2
50,76,3
50,77,5
50,79,4
50,80,16
50,81,1
50,82,1
50,83,1
50,84,1
50,85,4
50,86,1
50,87,7
50,88,2
50,91,9
50,92,2
50,94,7
50,95,2
50,97,1
51,75,3
51,76,3
51,77,5
51,79,2
51,80,2
51,81,1
51,82,1
51,83,1
51,84,1
51,85,1
51,86,2
51,87,2
51,88,4
51,90,1
51,91,4
51,92,3
52,75,1
52,76,4
52,77,3
52,79,6
52,80,2
52,81,2
52,82,2
52,83,1
52,84,2
52,85,8
52,86,7
52,87,3
52,88,2
52,90,6
52,91,7
52,92,1
52,94,3
52,95,6
52,96,1
52,97,2
54,75,1
54,76,2
54,77,2
54,79,4
54,80,2
54,81,1
54,82,1
54,83,1
54,84,1
54,85,1
54,86,2
54,87,1
54,88,3
54,90,1
54,91,1
54,92,1
54,94,2
54,95,1
55,75,1
55,79,3
55,80,7
55,81,4
55,82,4
55,83,1
55,84,2
55,85,1
55,86,2
55,87,1
55,88,1
55,91,2
55,92,1
55,94,1
55,95,2
55,97,3
56,75,1
56,76,2
56,77,2
56,79,1
56,80,1
56,81,2
56,82,2
56,83,1
56,84,6
